iso,name,MRGID,GEONAME,POL_TYPE
NRU,Nauru,8317,Nauruan Exclusive Economic Zone,200NM
GAB,Gabon,8476,Gabonese Exclusive Economic Zone,200NM
IDN,Indonesia,8492,Indonesian Exclusive Economic Zone,200NM
NA,Joint regime area: United States / Russia,48978,Joint regime area: United States / Russia,Joint regime
FRA,France,5677,French Exclusive Economic Zone,200NM
DZA,Algeria,8378,Algerian Exclusive Economic Zone,200NM
GHA,Ghana,8400,Ghanaian Exclusive Economic Zone,200NM
GRL,Greenland,8438,Danish Exclusive Economic Zone (Greenland),200NM
GBR,United Kingdom,5696,British Exclusive Economic Zone,200NM
USA,Hawaii,8453,United States Exclusive Economic Zone (Hawaii),200NM
SJM,Svalbard,33181,Norwegian Exclusive Economic Zone (Svalbard),200NM
NOR,Norway,5686,Norwegian Exclusive Economic Zone,200NM
RUS,Russia,5690,Russian Exclusive Economic Zone,200NM
SJM,Jan Mayen,8437,Norwegian Exclusive Economic Zone (Jan Mayen),200NM
USA,Alaska,8463,United States Exclusive Economic Zone (Alaska),200NM
ESP,Spain,5693,Spanish Exclusive Economic Zone,200NM
MUS,Chagos Archipelago,62589,Mauritian Exclusive Economic Zone (Chagos Archipelago),200NM
SGS,South Georgia and the South Sandwich Islands,8383,Overlapping claim South Georgia and the South Sandwich Islands: United Kingdom / Argentina,Overlapping claim
BMU,Bermuda,8402,British Exclusive Economic Zone (Bermuda),200NM
USA,United States,8456,United States Exclusive Economic Zone,200NM
SDN,Sudan,8355,Sudanese Exclusive Economic Zone,200NM
IMN,Isle of Man,64446,British Exclusive Economic Zone (Isle of Man),200NM
NA,Overlapping claim: Iraq / Iran,64460,Overlapping claim: Iraq / Iran,Overlapping claim
NA,Overlapping claim: Egypt / Libya,64430,Overlapping claim: Egypt / Libya,Overlapping claim
NA,Overlapping claim: Belize / Honduras,64431,Overlapping claim: Belize / Honduras,Overlapping claim
NA,Joint regime area: Norway / Russia,64459,Joint regime area: Norway / Russia,Joint regime
NA,Overlapping claim: Malaysia / Singapore,64440,Overlapping claim: Malaysia / Singapore,Overlapping claim
