"","iso","label","id","GEONAME","POL_TYPE","iso3","isoSov1","isoSov2","isoSov3","territory1"
"177","BGR","Bulgaria",5672,"Bulgarian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"178","PSE","Palestine",48953,"Palestinian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"179","KWT","Kuwait",8357,"Kuwaiti Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"180","IRQ","Iraq",8470,"Iraqi Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"181","BHR","Bahrain",8358,"Bahraini Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"182","QAT","Qatar",8468,"Qatari Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"183","YEM","Yemen",8353,"Yemeni Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"184","ISR","Israel",8375,"Israeli Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"185","JOR","Jordan",8491,"Jordanian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"186","DJI","Djibouti",8352,"Djiboutian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"187","BGD","Bangladesh",8481,"Bangladeshi Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"188","NGA","Nigeria",8474,"Nigerian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"189","CMR","Cameroon",8475,"Cameroonian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"190",NA,"Joint regime area: São Tomé and Principe / Nigeria",21797,"Joint regime area: São Tomé and Principe / Nigeria","Joint regime",NA,"STP","NGA",NA,"São Tomé and Principe"
"191",NA,"Joint regime area: France / Italy",48976,"Joint regime area: France / Italy","Joint regime",NA,"FRA","ITA",NA,"France"
"192","BIH","Bosnia and Herzegovina",22491,"Bosnian and Herzegovinian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"193","GUM","Guam",48957,"United States Exclusive Economic Zone (Guam)","200NM",NA,NA,NA,NA,NA
"194","MHL","Marshall Islands",8318,"Marshallese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"195","MNP","Northern Mariana Islands",48980,"United States Exclusive Economic Zone (Northern Mariana Islands)","200NM",NA,NA,NA,NA,NA
"196","PLW","Palau",8315,"Palauan Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"197","PHL","Philippines",8322,"Philippine Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"198",NA,"Senkaku Islands",48954,"Overlapping claim Senkaku Islands: Taiwan / Japan / China","Overlapping claim",NA,NA,NA,NA,NA
"199","SGP","Singapore",8485,"Singaporean Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"200","THA","Thailand",8332,"Thailand Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"201","UMI","Wake Island / Enenkio",8319,"Overlapping claim Wake Island / Enenkio: United States / Marshall Islands","Overlapping claim",NA,NA,NA,NA,NA
"202","VNM","Vietnam",8484,"Vietnamese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"203",NA,"Joint regime area: South Korea / Japan",21796,"Joint regime area: South Korea / Japan","Joint regime",NA,"KOR","JPN",NA,"South Korea"
"204","BRN","Brunei",26521,"Bruneian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"205","TWN","Taiwan",8321,"Overlapping claim Taiwan: Taiwan / China","Overlapping claim",NA,NA,NA,NA,NA
"206","PRK","North Korea",8328,"North Korean Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"207","KHM","Cambodia",8331,"Cambodian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"208","CHN","China",8486,"Chinese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"209","EST","Estonia",5675,"Estonian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"210","FIN","Finland",5676,"Finnish Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"211","SWE","Sweden",5694,"Swedish Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"212","LTU","Lithuania",5684,"Lithuanian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"213",NA,"Joint regime area: Sweden / Norway",48977,"Joint regime area: Sweden / Norway","Joint regime",NA,"NOR","SWE",NA,"Norway"
"214","BEL","Belgium",3293,"Belgian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"215","NLD","Netherlands",5668,"Dutch Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"216","DEU","Germany",5669,"German Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"217","DNK","Denmark",5674,"Danish Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"218","LVA","Latvia",5683,"Latvian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"219","HRV","Croatia",5673,"Croatian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"220","ITA","Italy",5682,"Italian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"221","UKR","Ukraine",5695,"Overlapping claim Ukraine: Ukraine / Russia","Overlapping claim",NA,NA,NA,NA,NA
"222","ROU","Romania",5689,"Romanian Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"223","JPN","Japan",8487,"Japanese Exclusive Economic Zone","200NM",NA,NA,NA,NA,NA
"224",NA,"Kuril Islands",48950,"Overlapping claim Kuril Islands: Japan / Russia","Overlapping claim",NA,NA,NA,NA,NA
